seed,t,mid_to_final_rmsd,mid_to_final_mae
42,0.009999999776482582,0.42114371061325073,0.21242594718933105
42,0.010990990325808525,0.4214830994606018,0.21259483695030212
42,0.011981981806457043,0.4208570718765259,0.2123872935771942
42,0.01297297328710556,0.4206866919994354,0.21231728792190552
42,0.013963963836431503,0.4207589030265808,0.21214792132377625
42,0.014954954385757446,0.4207330644130707,0.21208396553993225
42,0.01594594493508339,0.4210440516471863,0.21222639083862305
42,0.01693693734705448,0.4211871325969696,0.21228764951229095
42,0.017927927896380424,0.42191991209983826,0.21252676844596863
42,0.018918918445706367,0.42224058508872986,0.21266895532608032
42,0.01990991085767746,0.4224802851676941,0.21273550391197205
42,0.020900901407003403,0.42208272218704224,0.2125493735074997
42,0.021891891956329346,0.42141368985176086,0.2122083604335785
42,0.02288288250565529,0.42107683420181274,0.2119942307472229
42,0.02387387305498123,0.4207608103752136,0.2117461860179901
42,0.024864865466952324,0.4213046431541443,0.21191895008087158
42,0.025855856016278267,0.4210796654224396,0.21161000430583954
42,0.02684684656560421,0.42095714807510376,0.2113473266363144
42,0.027837838977575302,0.4210580587387085,0.21124105155467987
42,0.028828829526901245,0.42134594917297363,0.21138624846935272
42,0.029819820076227188,0.42137014865875244,0.21137270331382751
42,0.03081081062555313,0.4209657907485962,0.21107348799705505
42,0.031801801174879074,0.420427143573761,0.21075952053070068
42,0.03279279172420502,0.4201121926307678,0.21059101819992065
42,0.03378378599882126,0.42039424180984497,0.21068476140499115
42,0.0347747765481472,0.42098480463027954,0.21098953485488892
42,0.035765767097473145,0.42010337114334106,0.21052730083465576
42,0.03675675764679909,0.41821226477622986,0.20946037769317627
42,0.03774774819612503,0.4177871346473694,0.2093430757522583
42,0.038738738745450974,0.4170405864715576,0.20891427993774414
42,0.039729729294776917,0.4163377285003662,0.2082607001066208
42,0.04072071984410286,0.4165295958518982,0.2082100361585617
42,0.0417117103934288,0.4167923927307129,0.208297997713089
42,0.042702704668045044,0.416450560092926,0.20796583592891693
42,0.04369369521737099,0.4158165454864502,0.2074958086013794
42,0.04468468576669693,0.41562408208847046,0.20707926154136658
42,0.04567567631602287,0.41405999660491943,0.20612820982933044
42,0.046666666865348816,0.41186028718948364,0.2048608660697937
42,0.04765765741467476,0.4096379578113556,0.2035924643278122
42,0.0486486479640007,0.40776368975639343,0.20266547799110413
42,0.04963964223861694,0.4058683216571808,0.20180881023406982
42,0.050630632787942886,0.40438294410705566,0.20109951496124268
42,0.05162162333726883,0.40290898084640503,0.19993174076080322
42,0.05261261388659477,0.4018704295158386,0.19891612231731415
42,0.053603604435920715,0.4007261395454407,0.1979333609342575
42,0.05459459498524666,0.399614155292511,0.1975320428609848
42,0.0555855855345726,0.39959120750427246,0.19777320325374603
42,0.056576576083898544,0.3983384668827057,0.19735905528068542
42,0.05756756663322449,0.39684680104255676,0.1966763138771057
42,0.05855856090784073,0.39559999108314514,0.19607685506343842
42,0.05954955145716667,0.39504045248031616,0.1957777738571167
42,0.060540542006492615,0.39447787404060364,0.19543509185314178
42,0.06153153255581856,0.39386671781539917,0.19511114060878754
42,0.0625225231051445,0.39304378628730774,0.19463250041007996
42,0.06351351737976074,0.3924659192562103,0.19434762001037598
42,0.06450450420379639,0.39199522137641907,0.1941012740135193
42,0.06549549847841263,0.39132583141326904,0.1937774419784546
42,0.06648648530244827,0.39070990681648254,0.1937699168920517
42,0.06747747957706451,0.39031973481178284,0.19378060102462769
42,0.06846846640110016,0.3900429606437683,0.19381152093410492
42,0.0694594606757164,0.389904260635376,0.19384443759918213
42,0.07045045495033264,0.3897036910057068,0.19375383853912354
42,0.07144144177436829,0.3893815577030182,0.19369690120220184
42,0.07243243604898453,0.38915887475013733,0.19372443854808807
42,0.07342342287302017,0.3889853060245514,0.19383341073989868
42,0.07441441714763641,0.38883063197135925,0.1939713954925537
42,0.07540540397167206,0.38869941234588623,0.19411417841911316
42,0.0763963982462883,0.3885689377784729,0.19407901167869568
42,0.07738739252090454,0.3884163200855255,0.19406485557556152
42,0.07837837934494019,0.38826799392700195,0.19415192306041718
42,0.07936937361955643,0.38819339871406555,0.19422399997711182
